[2026-03-21T23:32:56.634Z] GET https://career.zhexueyuan.com/ → 200 (236ms, 53774B)
[2026-03-21T23:32:56.886Z] GET https://fonts.googleapis.com/css2?family=Noto+Serif+SC:wght@400;700;900&family=Space+Mono:wght@400;700&display=swap → 200 (149ms, ?B)
[2026-03-21T23:32:56.886Z] GET https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516 → 200 (109ms, 31169B)
[2026-03-21T23:32:57.397Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dPIFZifjKcF5UAWdDRYEF8RQ.woff2 → 200 (487ms, 16520B)
[2026-03-21T23:32:57.397Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.117.woff2 → 200 (638ms, ?B)
[2026-03-21T23:32:57.398Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7kqGWbg.woff2 → pending (?ms, ?B)
[2026-03-21T23:32:57.398Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.118.woff2 → 200 (636ms, ?B)
[2026-03-21T23:32:57.398Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.116.woff2 → pending (?ms, ?B)
[2026-03-21T23:32:57.399Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.112.woff2 → pending (?ms, ?B)
[2026-03-21T23:32:57.399Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.119.woff2 → pending (?ms, ?B)
[2026-03-21T23:32:57.399Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.114.woff2 → 200 (633ms, ?B)
[2026-03-21T23:32:57.399Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.111.woff2 → 200 (631ms, ?B)
[2026-03-21T23:32:57.399Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqP0dTpxZbB9E9gjjmzKvaeKHUTtJDWv3z-us4bxD8F5og.110.woff2 → 200 (539ms, 79492B)
